year,day,stars,position,seconds
2015,2,2,35,1345
2015,2,2,36,1347
2015,2,2,37,1363
2015,2,2,38,1370
2015,2,2,39,1382
2015,2,2,40,1394
2015,2,2,41,1436
2015,2,2,42,1444
2015,2,2,43,1470
2015,2,2,44,1500
2015,2,2,45,1527
2015,2,2,46,1529
2015,2,2,47,1546
2015,2,2,48,1554
2015,2,2,49,1561
2015,2,2,50,1600
2015,2,2,51,1628
2015,2,2,52,1628
2015,2,2,53,1647
2015,2,2,54,1664
2015,2,2,55,1665
2015,2,2,56,1717
2015,2,2,57,1730
2015,2,2,58,1816
2015,2,2,59,1826
2015,2,2,60,1832
2015,2,2,61,1833
2015,2,2,62,1836
2015,2,2,63,1852
2015,2,2,64,1876
2015,2,2,65,1899
2015,2,2,66,1900
2015,2,2,67,1917
2015,2,2,68,2033
2015,2,2,69,2065
2015,2,2,70,2073
2015,2,2,71,2090
2015,2,2,72,2093
2015,2,2,73,2099
2015,2,2,74,2108
2015,2,2,75,2151
2015,2,2,76,2151
2015,2,2,77,2157
2015,2,2,78,2164
2015,2,2,79,2165
2015,2,2,80,2172
2015,2,2,81,2181
2015,2,2,82,2185
2015,2,2,83,2214
2015,2,2,84,2214
2015,2,2,85,2333
2015,2,2,86,2338
2015,2,2,87,2348
2015,2,2,88,2349
2015,2,2,89,2364
2015,2,2,90,2371
2015,2,2,91,2404
2015,2,2,92,2409
2015,2,2,93,2413
2015,2,2,94,2418
2015,2,2,95,2478
2015,2,2,96,2529
2015,2,2,97,2533
2015,2,2,98,2534
2015,2,2,99,2613
2015,2,2,100,2624
2015,2,1,1,205
2015,2,1,2,277
2015,2,1,3,388
2015,2,1,4,401
2015,2,1,5,416
2015,2,1,6,433
2015,2,1,7,434
2015,2,1,8,436
2015,2,1,9,452
2015,2,1,10,535
2015,2,1,11,542
2015,2,1,12,555
2015,2,1,13,561
2015,2,1,14,585
2015,2,1,15,612
2015,2,1,16,622
2015,2,1,17,637
2015,2,1,18,649
2015,2,1,19,679
2015,2,1,20,682
2015,2,1,21,695
2015,2,1,22,700
2015,2,1,23,707
2015,2,1,24,719
2015,2,1,25,733
2015,2,1,26,735
2015,2,1,27,743
2015,2,1,28,764
2015,2,1,29,797
2015,2,1,30,854
2015,2,1,31,873
2015,2,1,32,885
2015,2,1,33,889
2015,2,1,34,891
2015,2,1,35,896
2015,2,1,36,902
2015,2,1,37,925
2015,2,1,38,931
2015,2,1,39,941
2015,2,1,40,988
2015,2,1,41,989
2015,2,1,42,990
2015,2,1,43,994
2015,2,1,44,1004
2015,2,1,45,1005
2015,2,1,46,1007
2015,2,1,47,1040
2015,2,1,48,1057
2015,2,1,49,1063
2015,2,1,50,1067
2015,2,1,51,1067
2015,2,1,52,1092
2015,2,1,53,1142
2015,2,1,54,1142
2015,2,1,55,1146
2015,2,1,56,1163
2015,2,1,57,1190
2015,2,1,58,1210
2015,2,1,59,1225
2015,2,1,60,1238
2015,2,1,61,1238
2015,2,1,62,1259
2015,2,1,63,1270
2015,2,1,64,1351
2015,2,1,65,1379
2015,2,1,66,1387
2015,2,1,67,1408
2015,2,1,68,1415
2015,2,1,69,1416
2015,2,1,70,1433
2015,2,1,71,1452
2015,2,1,72,1459
2015,2,1,73,1506
2015,2,1,74,1507
2015,2,1,75,1531
2015,2,1,76,1579
2015,2,1,77,1589
2015,2,1,78,1613
2015,2,1,79,1613
2015,2,1,80,1657
2015,2,1,81,1662
2015,2,1,82,1663
2015,2,1,83,1666
2015,2,1,84,1680
2015,2,1,85,1703
2015,2,1,86,1709
2015,2,1,87,1724
2015,2,1,88,1743
2015,2,1,89,1764
2015,2,1,90,1784
2015,2,1,91,1803
2015,2,1,92,1814
2015,2,1,93,1842
2015,2,1,94,1862
2015,2,1,95,1878
2015,2,1,96,1880
2015,2,1,97,1882
2015,2,1,98,1885
2015,2,1,99,1905
2015,2,1,100,1919
2015,3,2,1,272
2015,3,2,2,291
2015,3,2,3,350
2015,3,2,4,392
2015,3,2,5,395
2015,3,2,6,423
2015,3,2,7,452
2015,3,2,8,465
2015,3,2,9,506
2015,3,2,10,559
2015,3,2,11,562
2015,3,2,12,589
2015,3,2,13,636
2015,3,2,14,641
2015,3,2,15,642
2015,3,2,16,665
2015,3,2,17,671
2015,3,2,18,679
2015,3,2,19,686
2015,3,2,20,701
2015,3,2,21,704
2015,3,2,22,707
2015,3,2,23,723
2015,3,2,24,741
2015,3,2,25,752
2015,3,2,26,768
2015,3,2,27,770
2015,3,2,28,788
2015,3,2,29,788
2015,3,2,30,808
2015,3,2,31,817
2015,3,2,32,818
2015,3,2,33,820
2015,3,2,34,843
2015,3,2,35,871
2015,3,2,36,874
2015,3,2,37,876
2015,3,2,38,879
2015,3,2,39,889
2015,3,2,40,892
2015,3,2,41,897
2015,3,2,42,920
2015,3,2,43,922
2015,3,2,44,925
2015,3,2,45,935
2015,3,2,46,939
2015,3,2,47,943
2015,3,2,48,957
2015,3,2,49,957
2015,3,2,50,977
2015,3,2,51,987
2015,3,2,52,1006
2015,3,2,53,1014
2015,3,2,54,1022
2015,3,2,55,1025
2015,3,2,56,1049
2015,3,2,57,1080
2015,3,2,58,1084
2015,3,2,59,1110
2015,3,2,60,1132
2015,3,2,61,1135
2015,3,2,62,1140
2015,3,2,63,1145
2015,3,2,64,1150
2015,3,2,65,1174
2015,3,2,66,1175
2015,3,2,67,1196
2015,3,2,68,1228
2015,3,2,69,1314
2015,3,2,70,1325
2015,3,2,71,1337
2015,3,2,72,1340
2015,3,2,73,1366
2015,3,2,74,1376
2015,3,2,75,1394
2015,3,2,76,1395
2015,3,2,77,1406
2015,3,2,78,1422
2015,3,2,79,1434
2015,3,2,80,1445
2015,3,2,81,1451
2015,3,2,82,1464
2015,3,2,83,1482
2015,3,2,84,1487
2015,3,2,85,1501
2015,3,2,86,1514
2015,3,2,87,1517
2015,3,2,88,1529
2015,3,2,89,1532
2015,3,2,90,1555
2015,3,2,91,1557
2015,3,2,92,1560
2015,3,2,93,1578
2015,3,2,94,1638
2015,3,2,95,1642
2015,3,2,96,1647
2015,3,2,97,1668
2015,3,2,98,1670
2015,3,2,99,1671
2015,3,2,100,1678
2015,3,1,1,160
2015,3,1,2,163
2015,3,1,3,192
2015,3,1,4,248
2015,3,1,5,248
2015,3,1,6,284
2015,3,1,7,298
2015,3,1,8,303
2015,3,1,9,304
2015,3,1,10,312
2015,3,1,11,321
2015,3,1,12,326
2015,3,1,13,347
2015,3,1,14,352
2015,3,1,15,359
2015,3,1,16,361
2015,3,1,17,361
2015,3,1,18,372
2015,3,1,19,389
2015,3,1,20,392
2015,3,1,21,401
2015,3,1,22,409
2015,3,1,23,418
2015,3,1,24,442
2015,3,1,25,445
2015,3,1,26,457
2015,3,1,27,462
2015,3,1,28,467
2015,3,1,29,470
2015,3,1,30,475
2015,3,1,31,499
2015,3,1,32,513
2015,3,1,33,515
2015,3,1,34,515
2015,3,1,35,521
2015,3,1,36,532
2015,3,1,37,550
2015,3,1,38,556
2015,3,1,39,557
2015,3,1,40,559
2015,3,1,41,560
2015,3,1,42,560
2015,3,1,43,566
2015,3,1,44,586
2015,3,1,45,592
2015,3,1,46,600
2015,3,1,47,608
2015,3,1,48,618
2015,3,1,49,628
2015,3,1,50,629
2015,3,1,51,647
2015,3,1,52,657
2015,3,1,53,657
2015,3,1,54,668
2015,3,1,55,679
2015,3,1,56,685
2015,3,1,57,706
2015,3,1,58,717
2015,3,1,59,724
2015,3,1,60,724
2015,3,1,61,726
2015,3,1,62,752
2015,3,1,63,764
2015,3,1,64,764
2015,3,1,65,765
2015,3,1,66,768
2015,3,1,67,771
2015,3,1,68,788
2015,3,1,69,803
2015,3,1,70,807
2015,3,1,71,815
2015,3,1,72,818
2015,3,1,73,825
2015,3,1,74,876
2015,3,1,75,885
2015,3,1,76,889
2015,3,1,77,889
2015,3,1,78,899
2015,3,1,79,907
2015,3,1,80,915
2015,3,1,81,920
2015,3,1,82,925
2015,3,1,83,935
2015,3,1,84,937
2015,3,1,85,941
2015,3,1,86,962
2015,3,1,87,979
2015,3,1,88,985
2015,3,1,89,998
2015,3,1,90,1010
2015,3,1,91,1017
2015,3,1,92,1018
2015,3,1,93,1019
2015,3,1,94,1021
2015,3,1,95,1023
2015,3,1,96,1062
2015,3,1,97,1065
2015,3,1,98,1068
2015,3,1,99,1070
2015,3,1,100,1070
2015,4,2,1,129
2015,4,2,2,172
2015,4,2,3,199
2015,4,2,4,203
2015,4,2,5,244
2015,4,2,6,279
2015,4,2,7,294
2015,4,2,8,294
2015,4,2,9,296
2015,4,2,10,299
2015,4,2,11,306
2015,4,2,12,315
2015,4,2,13,320
2015,4,2,14,323
2015,4,2,15,331
2015,4,2,16,340
2015,4,2,17,375
2015,4,2,18,380
2015,4,2,19,383
2015,4,2,20,386
2015,4,2,21,386
2015,4,2,22,394
2015,4,2,23,397
2015,4,2,24,455
2015,4,2,25,460
2015,4,2,26,463
2015,4,2,27,464
2015,4,2,28,467
2015,4,2,29,472
2015,4,2,30,491
2015,4,2,31,492
2015,4,2,32,492
2015,4,2,33,495
2015,4,2,34,524
2015,4,2,35,551
